Job Title,Job Description,link,price
Web-scraping,I need a quick turnaround on a web scraping task. It is a single website to be inputted in an Excel spreadsheet that I will provide. I can do a quick call to explain.,https://www.peopleperhour.com/freelance-jobs/marketing-branding-sales/strategy-research/web-scraping-4384696,$229
Web Scraping for Business Data from Companies House,"We are seeking a skilled freelancer to scrape the Companies House website (https://www.gov.uk/get-information-about-a-company) for specific businesses based on sector, location, and revenue size. Further data enrichment will be necessary. Deliverables: - Comprehensive list of targeted companies filtered by specified sector, location, and revenue size criteria - Email addresses for each identified company (through data enrichment processes) - Postal addresses for each identified company - Director contact details for each company (names, positions, and available contact information) - Accurate and structured data delivered in a timely manner The ideal candidate should have experience in web scraping and data extraction, and be able to deliver accurate and structured data in a timely manner.",https://www.peopleperhour.com/freelance-jobs/technology-programming/data-science-analysis/web-scraping-for-business-data-from-companies-house-4389742,$229
"Web App, Database, Web Scraping, WhatsApp Business integration","Job Aggregator Project Draft Requirements Specification Date: 09 June 2025 Version: 3.0 Introduction The Client is a provider of recruitment services, specialising in provision of temporary workers to end-clients in the UK and US. Request for Proposal The Client wishes to automate several existing manual processes: • Receive job order information from various private job listing websites automatically (Web Scraping) • Aggregate and display job orders from multiple sources in an internal tool (Web App) • Send real-time notification of new job orders by to internal employees (MS Teams & WhatsApp for Business API) A proposal for development of an application to automate these processes is requested. Requirements Summary 1. Web Scraping a. Implement a head-less web scraper to scrape, or otherwise receive, a list of job orders from 15 private job listing websites according to a schedule b. Manage stored user credentials for each of these websites c. Parse the job order information into a database 2. Database a. Design and create a database to store the data of each job order 3. Web Application a. Create a desktop and mobile ready web app to display the job orders from multiple suppliers in a single pane of glass b. Display job orders in a tabular ('spreadsheet like') interface c. Permit sorting & filtering d. Link applied sort & filter to user sign-on and save per logged in user 4. Real-time notification a. Push notification of job alerts to internal employees by MS Teams & WhatsApp when new job orders are received b. Pushed job order notifications filtered per user 5. Single Sign-On a. Microsoft 365 Sign-Ons integrated into internal M365 tenant and Web App linked from internal SharePoint intranet site.",https://www.peopleperhour.com/freelance-jobs/technology-programming/website-development/web-app-database-web-scraping-whatsapp-business-integrati-4388427,$229
Web scraping tool,"I am seeking development of an automated web data extraction application. The tool should programmatically access specific websites, gather contact email addresses embedded within pages, and compile the addresses into a single downloadable file. Rather than manual browsing and copying, the application will retrieve email addresses directly from backend code through simulation of usual page loading. It should seamlessly navigate sites, interpret HTML/JavaScript to find contact strings in a specified format, and organize the yields into a clean spreadsheet format. User-interface for configuration and output should be intuitive and minimal. Primary objectives include contact harvesting from numerous pages in an expedited unobtrusive manner and segmentation of the compiled addresses for simplified import into email marketing services. Experience with web scraping libraries such as Selenium, BeautifulSoup or Scrapy would be beneficial. Proficiency in Python is required for this project.",https://www.peopleperhour.com/freelance-jobs/technology-programming/data-science-analysis/web-scraping-tool-4382888,$229
Cold calling and Lead Scraping,Okay so I have a lead gen agency. We are looking for Cold callers and Data Scrapers in India. Would love to work with you. If you are interested we will have a small meeting about it and you can join next month!...Just Email us,https://www.peopleperhour.com/freelance-jobs/marketing-branding-sales/sales-calls/cold-calling-and-lead-scraping-4393841,$229
Fix PHP Puphpeteer Scraper,"I have a PHP script using Puphpeteer to scrape pricing data from dynamic web pages and store the results in a MySQL database. It used to run fine on a cPanel environment, but since moving to a new hosting setup, it’s no longer working properly. The script connects to Browserless.io, opens a page, waits for JavaScript-rendered content (typically a grid of offers), extracts brand names and prices, and updates a table in MySQL. It handles both multiple prices and conditions to get from a page.",https://www.peopleperhour.com/freelance-jobs/technology-programming/programming-coding/fix-php-puphpeteer-scraper-4391886,$229
Expert Data Scraper Wanted,"We are looking for a highly skilled web scraping expert to extract structured business data from UK business directories, company websites, and Facebook business pages. Key Requirements: ✅ Expert in scraping business directories & dynamic websites ✅ 100% accurate data — NO DUPLICATES ✅ FAST turnaround ✅ Ability to handle large volumes of data ✅ UK-based business data ONLY ✅ Automated scraping (scripts / tools) required — no manual copy/paste ✅ Final delivery: CSV / Excel / Google Sheets Data Fields Required (for each business): Business Name Address Postcode Phone Number (Landline) Mobile Number (if available) If mobile number is not present in the directory, your script must visit the business website and attempt to extract the mobile number. Website URL Email (if available) Business Description (if available) If not present in the directory, your script must attempt to extract this from the business website. Category Bonus / Extra Opportunity:",https://www.peopleperhour.com/freelance-jobs/technology-programming/data-science-analysis/expert-data-scraper-wanted-4390383,$229
Data scraping from list of websites,"Need email address data pulling from these sites please: England Squash: https://www.englandsquash.com/find-a-club LTA (Tennis): https://clubspark.lta.org.uk/ RFU (Rugby): https://www.englandrugby.com/find-rugby FA Grassroots Football: https://www.englandfootball.com/play/adult-football Martial Arts (Mixed): Check governing bodies like British Judo, Karate Union of Great Britain ECB Cricket: https://www.ecb.co.uk/play/find-a-club https://www.openactive.io/data-catalogue/",https://www.peopleperhour.com/freelance-jobs/technology-programming/databases/data-scraping-from-list-of-websites-4390312,$229
Need a web developer ideally wordpress for on going projects?,"Need a web developer ideally wordpress for on going projects? Must have the ability to code, good work ethic, and have good understanding of English. Understand confidentiality and willing to work.",https://www.peopleperhour.com/freelance-jobs/technology-programming/website-development/need-a-web-developer-ideally-wordpress-for-on-going-projects-4394449,$229
Develop Web Customer Portal,"We seek a skilled developer to design and build a customer portal for viewing and accessing product price lists. Our enterprise resource planning system currently houses pricing data for multiple categories containing hundreds of individual items. Each of our clients may have access to differing assortments spread across various classifications. The portal must provide a branded interface for clients to view their customized pricing packages in an organized manner. It is imperative that the developed solution integrates seamlessly with our existing ERP infrastructure to retrieve up-to-date listings. Additionally, clients must have the ability to download full catalogs in CSV format for ease of importing costs into their own systems. Security and authentication will be paramount to restrict access solely to entitled accounts. The chosen developer will be expected to implement responsive design principles to ensure cross-browser compatibility and optimize the user experience across different devices. Proficiency with modern web technologies and backend programming is essential. The completed portal should yield an intuitive customer-centric solution meeting both current demands and capacity for future enhancement.",https://www.peopleperhour.com/freelance-jobs/technology-programming/erp-crm-development/develop-web-customer-portal-4392712,$229
